date,price,CPI,price_real
1/1/1969,2.462059091,35.6,6.915896323
2/1/1969,2.441994737,35.8,6.821214349
3/1/1969,2.394335,36.1,6.632506925
4/1/1969,2.392690476,36.3,6.591433819
5/1/1969,2.408704762,36.4,6.617320774
6/1/1969,2.397685714,36.6,6.551053864
7/1/1969,2.413471429,36.8,6.558346273
8/1/1969,2.406152381,37,6.503114543
9/1/1969,2.42002381,37.1,6.522975228
10/1/1969,2.478882609,37.3,6.645797879
11/1/1969,2.486878947,37.5,6.631677193
12/1/1969,2.461261905,37.7,6.528546166
1/1/1970,2.539145,37.8,6.717314815
2/1/1970,2.560231579,38,6.737451524
3/1/1970,2.600380952,38.2,6.80727998
4/1/1970,2.635413636,38.5,6.845230224
5/1/1970,2.69065,38.6,6.970595855
6/1/1970,2.791518182,38.8,7.194634489
7/1/1970,2.909709091,39,7.460792541
8/1/1970,2.816742857,39,7.222417582
9/1/1970,2.84572381,39.2,7.259499514
10/1/1970,2.984040909,39.4,7.573707891
11/1/1970,3.058889474,39.6,7.724468368
12/1/1970,2.9593,39.8,7.435427136
1/1/1971,3.05889,39.8,7.685653266
2/1/1971,3.059426316,39.9,7.667735127
3/1/1971,3.051434783,40,7.628586957
4/1/1971,2.922319048,40.1,7.287578672
5/1/1971,3.021635,40.3,7.497853598
6/1/1971,3.197668182,40.6,7.876030004
7/1/1971,3.370457143,40.7,8.281221481
8/1/1971,3.258640909,40.8,7.986864973
9/1/1971,3.1421,40.8,7.70122549
10/1/1971,3.187785714,40.9,7.794097101
11/1/1971,3.137219048,40.9,7.670462219
12/1/1971,3.138142857,41.1,7.635384081
1/1/1972,3.131628571,41.1,7.619534237
2/1/1972,3.2003,41.3,7.748910412
3/1/1972,3.416413636,41.4,8.252206851
4/1/1972,3.525615,41.5,8.495457831
5/1/1972,3.534027273,41.6,8.495257867
6/1/1972,3.47705,41.7,8.3382494
7/1/1972,3.488625,41.9,8.326073986
8/1/1972,3.433313043,42,8.174554865
9/1/1972,3.393995,42.1,8.061745843
10/1/1972,3.406036364,42.3,8.052095422
11/1/1972,3.681685,42.4,8.68321934
12/1/1972,4.172805263,42.5,9.818365325
1/1/1973,4.528019048,42.6,10.62915269
2/1/1973,5.803021053,42.9,13.5268556
3/1/1973,6.025795455,43.3,13.91638673
4/1/1973,6.28794,43.6,14.42188073
5/1/1973,8.382386364,43.9,19.09427418
6/1/1973,10.96263158,44.2,24.80233389
7/1/1973,9.283333333,44.3,20.95560572
8/1/1973,8.226347826,45.1,18.24023908
9/1/1973,6.443157895,45.2,14.2547741
10/1/1973,5.843772727,45.6,12.81529107
11/1/1973,5.677619048,45.9,12.36954041
12/1/1973,6.016736842,46.2,13.02323992
1/1/1974,6.2625,46.6,13.4388412
2/1/1974,6.451805556,47.2,13.66907957
3/1/1974,6.317738095,47.8,13.2170253
4/1/1974,5.600952381,48,11.66865079
5/1/1974,5.472386364,48.6,11.26005425
6/1/1974,5.524325,49,11.27413265
7/1/1974,7.10075,49.4,14.37398785
8/1/1974,7.812454545,50,15.62490909
9/1/1974,7.6815,50.6,15.18083004
10/1/1974,8.605217391,51.1,16.83995576
11/1/1974,7.919473684,51.5,15.3776188
12/1/1974,7.386333333,51.9,14.23185613
1/1/1975,6.485795455,52.1,12.44874367
2/1/1975,5.695157895,52.5,10.8479198
3/1/1975,5.598375,52.7,10.62310247
4/1/1975,5.717159091,52.9,10.8074841
5/1/1975,5.108333333,53.2,9.602130326
6/1/1975,5.083785714,53.6,9.48467484
7/1/1975,5.555568182,54.2,10.2501258
8/1/1975,6.064428571,54.3,11.16837674
9/1/1975,5.734404762,54.6,10.50257282
10/1/1975,5.256,54.9,9.573770492
11/1/1975,4.860526316,55.3,8.78937851
12/1/1975,4.645119048,55.5,8.36958387
1/1/1976,4.75297619,55.6,8.548518328
2/1/1976,4.806105263,55.8,8.613091869
3/1/1976,4.803695652,55.9,8.59337326
4/1/1976,4.811857143,56.1,8.57728546
5/1/1976,5.313875,56.5,9.405088496
6/1/1976,6.354795455,56.8,11.18802017
7/1/1976,6.831595238,57.1,11.96426487
8/1/1976,6.420590909,57.4,11.18569845
9/1/1976,6.810238095,57.6,11.82333003
10/1/1976,6.420642857,57.9,11.08919319
11/1/1976,6.683125,58,11.52262931
12/1/1976,6.932904762,58.2,11.91220749
1/1/1977,7.206547619,58.5,12.31888482
2/1/1977,7.405026316,59.1,12.52965536
3/1/1977,8.459021739,59.5,14.21684326
4/1/1977,9.879175,60,16.46529167
5/1/1977,9.545,60.3,15.8291874
6/1/1977,8.276886364,60.7,13.63572712
7/1/1977,6.322475,61,10.36471311
8/1/1977,5.385021739,61.2,8.799055129
9/1/1977,5.263928571,61.4,8.573173569
10/1/1977,5.318595238,61.6,8.634083179
11/1/1977,5.981309524,61.9,9.662858681
12/1/1977,5.967095238,62.1,9.608849015
1/1/1978,5.825952381,62.5,9.32152381
2/1/1978,5.719026316,62.9,9.092251694
3/1/1978,6.769204545,63.4,10.67697878
4/1/1978,7.0211,63.9,10.98763693
5/1/1978,7.14,64.5,11.06976744
6/1/1978,6.861681818,65.2,10.52405187
7/1/1978,6.4879,65.7,9.875038052
